City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
324,klyuchi,52.2667,79.1667,11.75,56,100,8.16,RU,1698262709
325,cestos city,5.46,-9.5828,26.09,87,51,3.46,LR,1698263070
326,lycksele,64.5954,18.6735,-2.07,80,100,2.06,SE,1698263070
327,laguna,38.421,-121.4238,18.92,59,75,5.14,US,1698263070
328,vilyuchinsk,52.9306,158.4028,4.96,74,54,5.85,RU,1698262799
329,hermanus,-34.4187,19.2345,16.12,80,100,4.22,ZA,1698262805
330,santa elena de uairen,4.6167,-61.1333,25.64,71,91,2.51,VE,1698263071
331,marabba,12.35,32.1833,32.93,38,60,4.03,SD,1698263071
332,filingue,14.3521,3.3168,31.59,9,9,2.47,NE,1698263071
333,altai,46.3722,96.2583,2.52,21,4,2.11,MN,1698263071
334,mukalla,14.5425,49.1242,27.1,77,68,3.79,YE,1698263071
335,salinopolis,-0.6136,-47.3561,27.84,69,38,6.33,BR,1698263072
336,singaparna,-7.3515,108.111,21.58,96,72,0.33,ID,1698263072
337,kamaishi,39.2667,141.8833,13.59,82,76,3.23,JP,1698263072
338,thomaston,32.8882,-84.3266,25.26,55,100,4.12,US,1698263072
339,inari,68.906,27.0288,-3.89,93,97,3.25,FI,1698263072
340,callao,-12.0667,-77.15,21.51,77,100,4.63,PE,1698263003
341,aracati,-4.5617,-37.7697,27.15,64,0,5.18,BR,1698263073
342,darnah,32.767,22.6367,23.0,62,100,1.16,LY,1698263073
343,borgarnes,64.5383,-21.9206,8.03,85,85,4.06,IS,1698263073
344,karlskrona,56.1616,15.5866,7.25,90,100,7.61,SE,1698263073
345,kavaratti,10.5669,72.642,28.28,69,8,0.44,IN,1698262859
346,bikenibeu village,1.3673,173.1241,28.98,79,20,2.57,KI,1698262769
347,artigas,-30.4,-56.4667,21.34,59,46,3.42,UY,1698263074
348,tweed heads,-28.1817,153.547,22.02,86,100,3.6,AU,1698263074
349,dabou,5.3256,-4.3769,25.31,90,66,2.72,CI,1698263074
350,san felipe orizatlan,21.1833,-98.6167,28.26,75,100,1.08,MX,1698263075
351,beruniy,41.6911,60.7525,13.98,77,0,5.14,UZ,1698263075
352,kolokani,13.5728,-8.0339,29.81,14,81,2.13,ML,1698263075
353,eenhana,-17.4667,16.3333,25.23,41,67,2.55,NA,1698263075
354,settat,33.0007,-7.6204,17.9,69,4,3.41,MA,1698263075
355,aljezur,37.3191,-8.8033,19.17,90,91,2.34,PT,1698263075
356,agat village,13.3886,144.6585,28.06,91,0,1.54,GU,1698263076
357,uray,60.1247,64.7758,-3.96,61,1,2.68,RU,1698263076
358,tommot,58.9564,126.2925,-5.58,95,100,2.25,RU,1698263076
359,grand falls-windsor,48.9332,-55.6649,9.17,89,100,3.49,CA,1698262728
360,kahror pakka,29.6238,71.9167,24.93,37,0,1.37,PK,1698263077
361,iskushuban,10.2837,50.23,25.95,78,100,4.92,SO,1698263077
362,pacocha,-17.5833,-71.3333,21.08,68,100,3.09,PE,1698263077
